Rank,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
0,0,1.789279044494629,0.33736,-1.910863280105591,0.4345
0,1,1.482747342185974,0.464,-2.3123766704559325,0.4915
0,2,1.3322419027900696,0.52432,-2.274566407394409,0.5571
0,3,1.1918467958450318,0.57392,-2.6496609966278077,0.583
0,4,1.0991907921600341,0.61192,-2.745677109146118,0.6248
0,5,0.9887432721710205,0.6512,-3.063310840988159,0.6463
0,6,0.9009213763999939,0.68272,-3.092031901550293,0.6552
0,7,0.8078687524414062,0.71832,-3.215880866241455,0.6674
0,8,0.7438268616104126,0.74096,-3.227203624343872,0.6829
0,9,0.6746772336387634,0.76536,-3.4600203132629392,0.6938
0,10,0.6258924122905731,0.78392,-3.4604521377563477,0.6968
0,11,0.5838200329017639,0.79424,-3.5831164802551267,0.7161
0,12,0.537983593120575,0.81336,-3.480261896133423,0.73
0,13,0.4814770846557617,0.83096,-3.760998434448242,0.7265
0,14,0.4395574577713013,0.84792,-3.8168103172302246,0.7309
0,15,0.3977226552391052,0.86072,-3.7656150520324707,0.7272
0,16,0.35306839220047,0.8752,-3.755368806838989,0.7302
0,17,0.31891099336624146,0.8932,-3.9546289596557616,0.7303
0,18,0.2863680507278442,0.90024,-4.189048237609863,0.7353
0,19,0.2855662361526489,0.90016,-3.923923232269287,0.7375
0,20,0.25872949221611025,0.90944,-4.223512854003906,0.7394
0,21,0.24026414425849915,0.91344,-4.115269760894775,0.7366
0,22,0.2235025895881653,0.92304,-3.947339309692383,0.7361
0,23,0.2115162862110138,0.926,-3.9709390327453615,0.7427
0,24,0.20267936116218566,0.92944,-3.8468281089782717,0.7519
0,25,0.17060436484456062,0.93896,-4.147106819915772,0.7458
0,26,0.1742809354877472,0.93872,-3.875355850982666,0.7479
0,27,0.15529790919303893,0.94592,-4.262403240203858,0.7476
0,28,0.15566924273490906,0.94584,-4.103213525390625,0.7511
0,29,0.14177734614372253,0.95032,-4.103088681793213,0.7428
0,30,0.1446655543279648,0.9508,-3.958349154663086,0.7529
0,31,0.13665334842681884,0.9516,-3.9262122703552245,0.7509
0,32,0.11793806748390198,0.95832,-4.0800685131073,0.7422
0,33,0.12762022712230683,0.9536,-3.915575500869751,0.7547
0,34,0.12781512704372405,0.95712,-4.16862001953125,0.7529
0,35,0.11513436591625213,0.95944,-4.087029901123047,0.7487
0,36,0.11651314900517463,0.96008,-3.8717525257110594,0.7502
0,37,0.1167664080286026,0.95992,-3.8577873653411867,0.7492
0,38,0.11269648935317993,0.95896,-4.143856759643555,0.7557
0,39,0.10612360201835633,0.96456,-4.019540223312378,0.7527
