Rank,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
0,0,1.3521891448020935,0.50822,-3.400640034484863,0.6138
0,1,0.8556083472061157,0.69856,-4.196593527984619,0.7437
0,2,0.6255102198696136,0.78352,-4.311109309387207,0.7852
0,3,0.48247215779304503,0.83178,-5.1202990989685055,0.8165
0,4,0.37109710536956786,0.87098,-5.689518299865723,0.8337
0,5,0.2791697686934471,0.90298,-5.905538538360596,0.8373
0,6,0.19464494475126268,0.93044,-6.528659986114502,0.8362
0,7,0.13455453311562537,0.95226,-7.574507220458984,0.828
0,8,0.10546610634207726,0.96322,-8.741547827148437,0.8454
0,9,0.08508154446601868,0.9699,-7.8667532806396485,0.8387
0,10,0.06922891504585743,0.97594,-8.527822171020508,0.8406
0,11,0.06077418736696243,0.97896,-8.551907901000977,0.8434
0,12,0.0563931901216507,0.98054,-8.244597305297852,0.8334
0,13,0.048380250529646875,0.98316,-8.831086848449708,0.8484
0,14,0.04376383462488651,0.9847,-9.27604847869873,0.8445
0,15,0.042327310299277304,0.98536,-8.656622319030761,0.8441
0,16,0.037044990039765836,0.98768,-8.9745689743042,0.8385
0,17,0.036272262021899225,0.9878,-8.853297763061523,0.8443
0,18,0.03127160457700491,0.98844,-9.233191423034668,0.8481
0,19,0.030281640004813672,0.98978,-9.06861568145752,0.8455
0,20,0.0323282081630826,0.98896,-8.779960096740723,0.8382
