Rank,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
0,0,1.6599224298858644,0.3976,-3.46030456237793,0.4472
0,1,1.1989138854599,0.56392,-4.077683275222778,0.6416
0,2,0.9461274942016602,0.6628,-4.624123995971679,0.6889
0,3,0.7905189207458496,0.72632,-4.904182564544678,0.7138
0,4,0.6833454932785035,0.7596,-4.9351693069458005,0.7419
0,5,0.6075587794494629,0.78608,-5.2656060981750485,0.7614
0,6,0.5301780215454102,0.81792,-5.9203814506530765,0.7877
0,7,0.47161905426979067,0.83456,-6.396562739562988,0.7942
0,8,0.40218358520507813,0.85928,-5.966127291870118,0.8029
0,9,0.36232423126220703,0.87024,-6.17235234375,0.8019
0,10,0.30769233803749085,0.89288,-6.7327259719848636,0.795
0,11,0.25958919196128843,0.906,-6.83229275970459,0.8124
0,12,0.23053567785263063,0.91824,-7.300853350830078,0.8254
0,13,0.18729225404977798,0.93304,-7.580951724243164,0.8146
0,14,0.1552298488521576,0.94488,-8.553632498168945,0.8126
0,15,0.14483488719463347,0.94808,-8.75083409576416,0.8243
0,16,0.12100474517822266,0.95832,-8.240726218414308,0.8177
0,17,0.12071145749092102,0.95736,-8.703444836425781,0.8206
0,18,0.08923921832799911,0.9688,-9.406823091125489,0.8242
0,19,0.08543319341182709,0.96952,-9.474709561157226,0.8236
0,20,0.07799334347248077,0.97056,-9.7596644821167,0.8247
0,21,0.07978332376599312,0.97064,-8.997275228881836,0.8158
0,22,0.07321364975690842,0.9744,-9.224081893920898,0.827
0,23,0.062262911919355395,0.97824,-10.278637638854981,0.8242
0,24,0.0654704001379013,0.97744,-9.92058293914795,0.8157
0,25,0.054985101457834244,0.98072,-9.635141670227052,0.8193
0,26,0.06341900291204453,0.97704,-10.523734309387207,0.8289
0,27,0.051476684665083886,0.98152,-10.76620381011963,0.8308
0,28,0.059874948182106015,0.9788,-10.175221067810059,0.8181
0,29,0.04980827578186989,0.9844,-10.094537867736816,0.8281
0,30,0.04205260880172253,0.98512,-10.854621755981446,0.8341
0,31,0.04812274717152119,0.98336,-10.657521766662597,0.8369
0,32,0.03785570455908775,0.98632,-9.935430223846435,0.814
0,33,0.043931867822408675,0.98408,-10.666126091003418,0.8359
0,34,0.03437111245259643,0.98792,-10.608526696777345,0.8234
0,35,0.036687645873576404,0.98744,-11.582564958190918,0.8335
0,36,0.03290474151849747,0.98856,-10.2054935256958,0.8124
0,37,0.03832648427188397,0.98672,-10.621260928344727,0.831
0,38,0.03279456364274025,0.9876,-10.860160659790038,0.8266
0,39,0.03250347545415163,0.98976,-11.806202307128906,0.8335
